;estado;cidade;populacao;pib;pib_percapita
4807;MINAS GERAIS;Itabirinha;10819;50568.87109375;4674.08007812
4808;PIAUÍ;São João da Canabrava;4511;15651.91992188;3469.7199707
4809;SÃO PAULO;Borebi;2349;34413.14453125;14650.12988281
4810;RIO GRANDE DO SUL;Sinimbu;10706;121152.40625;11316.30957031
4811;MINAS GERAIS;Simonésia;17933;96474.9296875;5379.74023438
4812;BAHIA;Remanso;39705;155141.328125;3907.35009766
4813;MINAS GERAIS;Poços de Caldas;151449;2818455.75;18609.9296875
4814;MINAS GERAIS;Carvalhos;4735;26771.07617188;5653.87011719
4815;MINAS GERAIS;Sabinópolis;16326;87639.6796875;5368.10986328
4816;MINAS GERAIS;Minas Novas;31647;120427.390625;3805.33007812
4817;RONDÔNIA;Pimenteiras do Oeste;2415;68966.140625;28557.41015625
4818;PARANÁ;Boa Ventura de São Roque;6964;88497.1484375;12707.79980469
4819;MINAS GERAIS;Bela Vista de Minas;10333;57826.421875;5596.29003906
4820;MINAS GERAIS;Aracitaba;1885;15587.87890625;8269.4296875
4821;TOCANTINS;Babaçulândia;10698;93242.9921875;8715.9296875
4822;TOCANTINS;Pugmil;2252;32357.92773438;14368.53027344
4823;PARANÁ;Jataizinho;11604;81946.609375;7061.93017578
4824;PARAÍBA;Santarém;2749;11645.21484375;4236.16015625
4825;RIO DE JANEIRO;Santo Antônio de Pádua;42405;515187.90625;12149.23046875
4826;SÃO PAULO;Boituva;44906;1223898.125;27254.66992188
4827;MINAS GERAIS;Salinas;38789;237517.859375;6123.33007812
4828;SÃO PAULO;Campo Limpo Paulista;74863;838058.875;11194.5703125
4829;RIO DE JANEIRO;Maricá;123492;1079824.375;8744.08007812
4830;TOCANTINS;Wanderlândia;9493;66966.7734375;7054.33007812
4831;RIO GRANDE DO SUL;Aceguá;4347;115000.703125;26455.18945312
4832;MARANHÃO;Água Doce do Maranhão;12460;37689.296875;3024.82006836
4833;MINAS GERAIS;Angelândia;8571;47678.96484375;5562.81982422
4834;RIO GRANDE DO SUL;Cristal;7393;93160.71875;12601.20996094
4835;GOIÁS;Santa Rosa de Goiás;2765;20780.69140625;7515.62011719
4836;MATO GROSSO DO SUL;Iguatemi;15222;215600.4375;14163.74023438
4837;MINAS GERAIS;Catas Altas;4795;70746.1015625;14754.13964844
4838;BAHIA;Maragogipe;43921;178405.578125;4061.9699707
4839;MINAS GERAIS;Brasilândia de Minas;13593;134720.109375;9910.99023438
4840;RIO GRANDE DO NORTE;Caraúbas;20471;156053.3125;7623.14013672
4841;RIO GRANDE DO SUL;Caxias do Sul;410166;12509582.0;30498.83007812
4842;SÃO PAULO;Onda Verde;4005;129986.5;32456.05078125
4843;MINAS GERAIS;Santana de Cataguases;3785;19561.33984375;5168.12011719
4844;AMAPÁ;Serra do Navio;3982;109795.3046875;27572.90039062
4845;RIO GRANDE DO SUL;Seberi;11098;137429.21875;12383.24023438
4846;RIO GRANDE DO SUL;Dois Irmãos das Missões;2444;47824.69140625;19568.19921875
4847;BAHIA;Novo Triunfo;14763;36864.1328125;2497.06005859
4848;PIAUÍ;Baixa Grande do Ribeiro;10804;187569.125;17361.08007812
4849;SANTA CATARINA;Balneário Gaivota;7959;63575.9375;7987.93017578
4850;RIO GRANDE DO SUL;Gramado dos Loureiros;2399;21962.37695312;9154.79980469
4851;BAHIA;Jiquiriçá;13772;50515.6328125;3668.0
4852;RIO GRANDE DO SUL;Paraíso do Sul;7643;99716.1171875;13046.71972656
4853;SANTA CATARINA;Pinhalzinho;15692;397378.125;25323.609375
4854;TOCANTINS;Araguaçu;9225;106934.7265625;11591.83984375
4855;BAHIA;Ituaçu;18772;82193.359375;4378.50976562
4856;TOCANTINS;Talismã;2663;36111.77734375;13560.55957031
4857;SÃO PAULO;Martinópolis;25533;292783.40625;11466.86035156
4858;SÃO PAULO;Aguaí;32101;476532.65625;14844.79003906
4859;MARANHÃO;Pio Xii;22220;70833.7578125;3187.84008789
4860;MINAS GERAIS;Lassance;6651;127364.8671875;19149.73046875
4861;MINAS GERAIS;Ouro Verde de Minas;7215;29680.8046875;4113.75976562
4862;MINAS GERAIS;Bom Repouso;10826;84637.828125;7818.02001953
4863;SÃO PAULO;Taquaritinga;55662;644853.5625;11585.16992188
4864;MINAS GERAIS;Serra dos Aimorés;8667;85138.171875;9823.25976562
4865;SÃO PAULO;Jaú;135546;1760822.5;12990.58984375
4866;PARÁ;Goianésia do Pará;29164;127624.2265625;4376.08984375
4867;PARANÁ;Nova Aliança do Ivaí;1434;21147.484375;14747.20019531
4868;SÃO PAULO;Dois Córregos;26040;363964.34375;13977.12988281
4869;GOIÁS;Aurilândia;3709;34192.81640625;9218.87988281
4870;SÃO PAULO;Iaras;5658;51714.51171875;9140.0703125
4871;BAHIA;Paulo Afonso;106703;1743769.875;16342.28027344
4872;MINAS GERAIS;Guaxupé;49719;1037274.25;20862.73046875
4873;TOCANTINS;Brasilândia do Tocantins;2208;26675.76757812;12081.41992188
4874;PERNAMBUCO;Cumaru;13812;65920.3203125;4772.68017578
4875;SÃO PAULO;Cafelândia;16778;192295.0;11461.13964844
4876;BAHIA;Barreiras;137832;1693253.625;12284.91015625
4877;PARÁ;Santa Isabel do Pará;55570;277844.90625;4999.91015625
4879;MINAS GERAIS;Candeias;16281;129657.625;7963.74023438
4880;SÃO PAULO;Silveiras;5841;46585.80078125;7975.64990234
4881;MINAS GERAIS;Belo Horizonte;2452617;44595204.0;18182.69921875
4882;MINAS GERAIS;Santa Rita de Minas;5980;58281.58984375;9746.08007812
4883;MINAS GERAIS;Mário Campos;12029;75661.0546875;6289.89013672
4884;MINAS GERAIS;Caiana;4733;35661.89453125;7534.72998047
4885;PARANÁ;São José dos Pinhais;279297;11511811.0;41217.1015625
4886;BAHIA;Apuarema;7610;32103.33984375;4218.56982422
4887;RIO GRANDE DO SUL;Ponte Preta;1846;23686.04882812;12831.00976562
4888;PARANÁ;Guapirama;3645;41972.16796875;11515.0
4889;RIO GRANDE DO NORTE;Porto do Mangue;5033;96511.578125;19175.75976562
4890;MATO GROSSO;Campinápolis;14301;113937.0703125;7967.06982422
4891;GOIÁS;Anápolis;335960;8109760.0;24139.06054688
4892;BAHIA;Cachoeira;33782;193704.671875;5733.95996094
4893;MINAS GERAIS;Rubelita;8097;32559.80859375;4021.2199707
4894;MINAS GERAIS;Ladainha;17195;59610.83984375;3466.75
